,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
2191,1280,0,1,4500,2,2,79364,,17.350398,,Appa Junction ,78.389596,,1-Oct-20,5760000,SMR Vinay Harmony County,,,,
2192,1180,0,1,3305,2,2,0,,17.39685627,,Uppal,78.55676495,,1-Oct-20,3900000,V.R.Laxmi Residency,Uppal,4.17,1.666666667,3.877777778
2193,1400,0,2,5142,3,3,0,,17.38504,,Chanakyapuri,78.48667,,1-Oct-20,7200000,Sainagar,Koti,4.77,1.555555556,4.033333333
2194,1040,0,1,4903,2,2,1029702,,17.5186369,,Pragati Nagar,78.3962529,,1-Oct-20,5100000,Aadhya Heaven,Kukatpally,4.99,1.555555556,4.1
2195,2000,0,0,2250,3,4,522661,,17.54597,,Sri Sai Baba Nagar Colony,78.433038,,5-Oct-20,5000000,Tirumala Enclave,,,,
2196,1000,0,2,3000,2,2,456587,,17.549737,,Bachupally,78.392103,,1-Oct-20,3000000,Saranya Residency,,,,
2197,1036,0,1,4634,2,2,220467,,17.361436,,Rocktown Colony,78.559889,,30-Oct-20,4800000,SSM Arcade,,,,
2198,1641,1-Mar-23,2,2778,3,3,0,,17.49182,,Chandanagar,78.32617,,1-Oct-20,4560000,Sarvani Sahiti Construction,Chanda Nagar,4.63,1.555555556,3.911111111
2199,1472,1-Dec-20,,4800,,3,869301,0,17.502565,,Chandanagar,78.32331,JAISRIDEVI HOMES PRIVATE LIMITED,1-Oct-20,7065600,Devi Homes Khyathi,Chanda Nagar,4.63,1.555555556,3.911111111
2200,1171,1-Dec-20,,4800,,2,869301,0,17.502565,,Chandanagar,78.32331,JAISRIDEVI HOMES PRIVATE LIMITED,1-Oct-20,5620800,Devi Homes Khyathi,Chanda Nagar,4.63,1.555555556,3.911111111
2201,1145,0,2,4263,2,2,0,,17.509181,,Miyapur,78.3521088,,1-Oct-20,4880000,Sri Ram Arcade,Miyapur,4.68,1.777777778,4.022222222
2202,920,0,1,2935,2,2,803972,,17.35358,,Bandlaguda,78.385763,,1-Oct-20,2700000,Omar Residency,Langer Houz,3.75,1.444444444,3.688888889
2203,1085,0,1,4000,2,2,0,,17.38504,,Chandanagar,78.48667,,1-Oct-20,4340000,ready to move flats,Koti,4.77,1.555555556,4.033333333
