,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,latitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
35,1273,1-Jun-23,,8642,,3,866463,0,22.502032,,New Alipore,88.340406,Merlin Projects Limited,3-Oct-20,11100000,Merlin Elements,,,,
36,1214,1-Dec-20,,5499,2,2,378747,0,22.567405,,New Town,88.517943,Merlin Projects Limited,6-Oct-20,6800000,Elita Garden Vista Phase 2,New Town,4.03,3,3.9
37,791,1-Dec-21,1,4442,2,3,751315,1,22.691318,1,Konnagar,88.355817,Merlin Projects Limited,19-Oct-20,3500000,Merlin Gangotri,Konnagar,3.8,1.222222222,3.822222222
38,888,0,1,6756,2,3,80418,1,22.556041,1,Howrah,88.311766,Merlin Projects Limited,12-Nov-20,6000000,Merlin Waterfront,,,,
39,4527,0,,11486,3,3,220493,1,22.553695,1,Alipore,88.335128,Doshi and Company,25-Sep-20,52000000,Keventer Crosswinds,Park Street Area,5,3,4.333333333
40,5359,0,,11500,4,4,220493,1,22.553695,1,Alipore,88.335128,Doshi and Company,25-Sep-20,61628500,Keventer Crosswinds,Park Street Area,5,3,4.333333333
41,654,0,,9174,4,2,279597,1,22.5594263,1,Tangra,88.3736539,Merlin Projects Limited,2-Nov-20,6000000,Merlin Regalia,Park Circus Area,4.88,1.666666667,4.1
42,1001,1-Dec-25,,5969,,3,777592,0,22.484821,,Behala Chowrasta,88.294591,Merlin Projects Limited,3-Oct-20,5955950,Merlin Next,,,,
43,737,1-Dec-25,,5921,,2,777592,0,22.484821,,Behala Chowrasta,88.294591,Merlin Projects Limited,3-Oct-20,4385150,Merlin Next,,,,
44,639,1-Sep-20,,5100,,2,292045,0,22.641998,,Rajarhat,88.466071,Aspira Loharuka Developers,11-Sep-20,3258900,Freshia,Chinar Park,4.03,3,3.9
45,1190,0,,8840,3,3,40326,0,22.552933,,Entally,88.375386,Merlin Projects Limited,12-Nov-20,10300000,Merlin Legacy,Entally,4.75,3.555555556,4.244444444
46,639,1-Jun-21,,5100,,2,292045,0,22.641998,,Rajarhat,88.466071,Aspira Loharuka Developers,11-Sep-20,3258900,Freshia,Chinar Park,4.03,3,3.9
47,1825,1-Aug-25,,9501,4,4,1049923,1,22.509854,1,New Alipore,88.331069,PS Group Realty Ltd,5-Nov-20,17339325,PS Navyom,,,,
48,2454,1-Aug-25,,9501,5,5,1049923,1,22.509854,1,New Alipore,88.331069,PS Group Realty Ltd,5-Nov-20,23315454,PS Navyom,,,,
49,1742,1-Dec-20,1,5497,4,3,378747,1,22.567405,1,New Town,88.517943,Merlin Projects Limited,6-Oct-20,9100000,Elita Garden Vista Phase 2,New Town,4.03,3,3.9
50,2089,0,1,6500,3,4,8680,1,22.59508,1,Shyam Bazaar,88.375853,Ginni Realty,17-Nov-20,13578500,Ginni Himadri,Shyam Bazar,4.17,1.888888889,4.077777778
