,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,latitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
250,2650,1-Aug-23,4,5720,4,3,32782,1,28.4373379,1,Sector-89 A Gurgaon,76.9440586,Prithvi Estate,7-Nov-20,14840000,ATS Marigold,Sector 83,4.65,2.111111111,3.888888889
251,3200,1-Dec-22,6,6000,5,4,283413,1,28.424205,1,Sector-150 Noida,77.486783,Invest Mango,4-Nov-20,15520000,ATS Le Grandiose,Sector 132,2.55,1.444444444,1.588888889
252,2300,1-Dec-22,4,6000,4,3,283413,1,28.424205,1,Sector-150 Noida,77.486783,Invest Mango,4-Nov-20,11155000,ATS Le Grandiose,Sector 132,2.55,1.444444444,1.588888889
253,1675,1-Mar-26,3,6000,4,3,892845,1,28.416661,1,Sector-150 Noida,77.4847794,ValueMax Advisors,4-Nov-20,7705000,ATS Pious Hideaways,Sector 132,4.23,1.888888889,3.644444444
254,1100,1-Mar-23,2,5000,2,2,475798,1,28.580651,1,Sector-150 Noida,77.327184,Happy Homes Realtors And Builders,29-Oct-20,5500000,TATA Eureka Park,Sector 51,5,2.666666667,4.1
255,2361,0,4,5000,4,3,11182,1,28.514725,1,Sector-107 Gurgaon,76.973355,Tasha Realty Solution Pvt Ltd,5-Nov-20,11805000,M3M Woodshire,Palam Vihar,4.33,1.666666667,3.933333333
256,2768,0,5,5000,5,4,11182,1,28.514725,1,Sector-107 Gurgaon,76.973355,Tasha Realty Solution Pvt Ltd,5-Nov-20,13840000,M3M Woodshire,Palam Vihar,4.33,1.666666667,3.933333333
257,2450,0,,7500,,4,10890,0,28.482289,,Sector-104 Gurgaon,76.991786,Tasha Realty Solution Pvt Ltd,5-Nov-20,16500750,Puri Emerald Bay,Sector 4,4.86,1.888888889,3.988888889
258,2450,0,5,7500,4,3,10890,1,28.482289,1,Sector-104 Gurgaon,76.991786,Tasha Realty Solution Pvt Ltd,5-Nov-20,15557500,Puri Emerald Bay,Sector 4,4.86,1.888888889,3.988888889
259,5900,0,3,13145,6,5,5270,1,28.402135,1,Sector-65 Gurgaon,77.065428,Realtime Realtors,28-Oct-20,53100000,M3M Golfestate,Sohna Road,3.36,1.888888889,3.777777778
260,11635,0,,14035,,4,5270,0,28.402135,,Sector-65 Gurgaon,77.065428,Realtime Realtors,28-Oct-20,104715000,M3M Golfestate,Sohna Road,3.36,1.888888889,3.777777778
261,4742,0,,13145,3,3,5270,0,28.402135,,Sector-65 Gurgaon,77.065428,Realtime Realtors,28-Oct-20,40307000,M3M Golfestate,Sohna Road,3.36,1.888888889,3.777777778
262,6353.03,1-Jun-24,3,9181,4,4,904006,1,28.430479,1,Sector-36A Gurgaon,76.959579,Tasha Realty Solution Pvt Ltd,19-Oct-20,56999116,Krisumi Waterfall Residences,Sector 83,4.65,2.111111111,3.888888889
263,4429.5,1-Jun-24,2,9181,4,3,904006,1,28.430479,1,Sector-36A Gurgaon,76.959579,Tasha Realty Solution Pvt Ltd,19-Oct-20,34904949,Krisumi Waterfall Residences,Sector 83,4.65,2.111111111,3.888888889
264,1448.41,1-Jun-24,3,9179,2,2,904006,1,28.430479,1,Sector-36A Gurgaon,76.959579,Tasha Realty Solution Pvt Ltd,19-Oct-20,12887200,Krisumi Waterfall Residences,Sector 83,4.65,2.111111111,3.888888889
265,3525,1-Dec-24,,12624,3,3,751395,0,28.40185,,Sector-65 Gurgaon,77.061015,Realty Shopee,21-Oct-20,44147100,Trump Tower,Sohna Road,4.96,2.444444444,4.277777778
266,2430,1-Jan-23,4,8991,4,3,94856,1,28.3998268,1,Sector-65 Gurgaon,77.0610017,Realty Shopee,21-Oct-20,21850560,M3M Latitude,Sohna Road,4.96,2.444444444,4.277777778
