,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
1330,798,1-Jun-21,,22155,2,2,48362,0,19.249118,,Dahisar (East),72.864357,Zero Broker,20-Oct-20,17600000,Northern Heights,,,,
1331,1106,1-Jun-21,,21790,3,3,48362,0,19.249118,,Dahisar (East),72.864357,Zero Broker,20-Oct-20,24100000,Northern Heights,,,,
1332,980,0,,25000,3,3,542481,0,19.20865,,Kandivali (West),72.834076,Zero Broker,20-Oct-20,21070000,Jeevan Heights,,,,
1333,1263.2,1-Dec-20,,20899,3,3,550669,0,19.218934,,Borivali (East),72.857709,Zero Broker,20-Oct-20,26400000,Triumph Siddhivinayak,,,,
1334,543.361672,1-Jun-23,,13987,,2,395211,0,19.266393,,Mira Road,72.871716,Zero Broker,20-Oct-20,7600000,Kakad Paradise,,,,
1335,393.205267,1-Jun-23,,16065,,1,395211,0,19.266393,,Mira Road,72.871716,Zero Broker,20-Oct-20,5800000,Kakad Paradise,,,,
1336,592.660334,1-Jun-23,,17924,2,2,1048430,1,19.261081,1,Dahisar (East),72.87335,Zero Broker,20-Oct-20,7999000,Dynamix Avanya,Dahisar East,4.69,1.777777778,4.011111111
1337,381.687894,1-Jun-23,,15693,1,1,1048430,1,19.261081,1,Dahisar (East),72.87335,Zero Broker,20-Oct-20,5990000,Dynamix Avanya,Dahisar East,4.69,1.777777778,4.011111111
1338,640,0,,16876,2,2,289759,1,19.233686,1,Kolshet Road,72.988423,Pr Properties,11-Nov-20,6400000,Lodha Amara,,,,
1339,453,0,,15001,2,1,289759,1,19.233686,1,Kolshet Road,72.988423,Pr Properties,11-Nov-20,5300000,Lodha Amara,,,,
1340,474.149795,1-Apr-25,,7276,1,1,1015585,0,19.226138,,Katemanivali,73.143721,Sahoo Group,10-Nov-20,3450084,Om Vasant Vatika,,,,
1341,400,1-Jun-23,,20750,,1,1050175,0,19.130017,,Kanjur Marg (East),72.932701,Pr Properties,9-Nov-20,8300000,Runwal Avenue,,,,
1342,610.097852,1-Jun-23,,18685,,2,1050175,0,19.130017,,Kanjur Marg (East),72.932701,Pr Properties,9-Nov-20,11399680,Runwal Avenue,,,,
1343,434.753921,1-Jul-23,,18401,2,2,1018649,0,19.2120456,,Majiwada,72.9866594,Pr Properties,11-Nov-20,7999922,Lodha Quality Homes,,,,
1344,285.458628,1-Jul-23,,17866,1,1,1018649,0,19.2120456,,Majiwada,72.9866594,Pr Properties,11-Nov-20,5100075,Lodha Quality Homes,,,,
1345,710.4174,1-Dec-23,,22519,2,2,1010752,1,19.17362,1,Goregaon (East),72.872352,Verizon Properties,6-Nov-20,15988490,Satellite Elegance,,,,
1346,427.003913,1-Dec-23,,22000,1,1,1010752,1,19.17362,1,Goregaon (East),72.872352,Verizon Properties,6-Nov-20,9394000,Satellite Elegance,,,,
1347,470,1-Jan-24,,10101,,2,1025077,0,19.164855,,Taloja,73.07464,SSN VENTURES PVT LTD,5-Nov-20,4000000,Lodha Crown,Dombivali East,4.93,1.555555556,3.822222222
1348,1025,1-Feb-22,,6723,2,2,904219,0,19.228631,,Kalyan (East),73.131131,Sahoo Group,6-Nov-20,6800000,Shivom Galaxy,Kalyan,4.79,2,3.966666667
1349,680,1-Feb-22,,6505,1,1,904219,0,19.228631,,Kalyan (East),73.131131,Sahoo Group,3-Nov-20,4450000,Shivom Galaxy,Kalyan,4.79,2,3.966666667
1350,1180,1-Dec-23,,28118,,3,898471,0,19.023579,,Seawoods,73.016032,Hi-tech Realty,12-Nov-20,30677640,L and T Seawoods Residences,,,,
1351,824,1-Dec-23,,25344,,2,898471,0,19.023579,,Seawoods,73.016032,Hi-tech Realty,12-Nov-20,20099832,L and T Seawoods Residences,,,,
1352,370.170521,1-Jun-23,,14112,,1,109153,0,19.142287,,Shilphata,73.043584,Seed Realty Investments,24-Oct-20,5224000,Bharat Ecovistas,,,,
1353,588.892969,1-Jun-23,,10696,,2,109153,0,19.142287,,Shilphata,73.043584,Seed Realty Investments,24-Oct-20,6337000,Bharat Ecovistas,,,,
1354,636.14649,1-Sep-21,,9581,,2,799803,0,19.207707,,Dombivli (East),73.111643,Seed Realty Investments,24-Oct-20,6094000,Regency Anantam,Dombivali East,4.93,1.555555556,3.822222222
1355,430.556,1-Sep-21,,9743,,1,799803,0,19.207707,,Dombivli (East),73.111643,Seed Realty Investments,24-Oct-20,4190000,Regency Anantam,Dombivali East,4.93,1.555555556,3.822222222
1356,621,0,,10068,,2,56286,0,19.149304,,Shilphata,73.053858,Seed Realty Investments,24-Oct-20,5900000,Bhoomi Lawns,,,,
