,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,latitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
1213,622.691615,1-Jan-24,,7015,,2,1047044,0,18.664045,,Ravet,73.73951,R K Properties,13-Nov-20,4433000,Kriasla 41 Evoke,Ravet,4.36,2.111111111,3.988888889
1214,788,1-Jun-23,,7941,,2,1020980,0,18.65517,,Ravet,73.739386,R K Properties,21-Oct-20,6257600,Pharande Felicity,Ravet,4.36,2.111111111,3.988888889
1215,691,1-Dec-21,,7814,2,2,838201,0,18.602495,,Dhanori,73.906616,SHAKUNTAL PROPERTIES,4-Nov-20,5400000,Amorapolis,Lohegaon,4.06,1.111111111,3.155555556
1216,1042,0,,6525,3,3,108207,0,18.622725,,Lohegaon,73.916213,SHAKUNTAL PROPERTIES,4-Nov-20,6800000,Pride World City,Lohegaon,4.06,1.111111111,3.155555556
1217,784,0,1,6122,2,2,108207,1,18.622725,1,Lohegaon,73.916213,SHAKUNTAL PROPERTIES,4-Nov-20,4599728,Pride World City,Lohegaon,4.06,1.111111111,3.155555556
1218,1659,0,2,11573,3,3,46656,,18.53199,,Koregaon Park,73.896145,,30-Oct-20,19200000,Sunit Anant,Koregaon Park,4.45,2.888888889,4.377777778
1219,1110,0,0,10271,2,2,483083,,18.537412,,Koregaon Park,73.894065,,17-Nov-20,11400000,Parmeshwar Sharan,Koregaon Park,5,2.777777778,4.377777778
1220,822,0,,9610,3,3,5878,0,18.618978,,Hinjewadi,73.710477,Empire realtors,17-Nov-20,7399644,Kolte Patil Life Republic,Hinjawadi,4.95,2.777777778,4.111111111
1221,889,0,,9053,2,2,5878,1,18.618978,1,Hinjewadi,73.710477,Empire realtors,17-Nov-20,4800000,Kolte Patil Life Republic,Hinjawadi,4.95,2.777777778,4.111111111
1222,470,0,,9283,1,1,5878,0,18.618978,,Hinjewadi,73.710477,Empire realtors,17-Nov-20,3400000,Kolte Patil Life Republic,Hinjawadi,4.95,2.777777778,4.111111111
1223,889.743974,0,,10002,3,3,4134,0,18.5776944,,Hinjewadi,73.7350512,Empire realtors,13-Nov-20,8900000,Paranjape Blue Ridge,Hinjawadi,4.95,2.777777778,4.111111111
1224,688.89,0,2,10065,2,2,4134,1,18.5776944,1,Hinjewadi,73.7350512,Empire realtors,13-Nov-20,6891008,Paranjape Blue Ridge,Hinjawadi,4.95,2.777777778,4.111111111
1225,502,0,,10000,1,1,4134,0,18.5776944,,Hinjewadi,73.7350512,Empire realtors,13-Nov-20,5020000,Paranjape Blue Ridge,Hinjawadi,4.95,2.777777778,4.111111111
1226,1819,1-Jun-21,,10014,4,4,134705,0,18.63394,,Dange Chowk,73.747305,My Home,23-Oct-20,18217285,7 Plumeria Drive,Ravet,4.82,2.111111111,4.022222222
1227,1262,1-Jun-21,,10000,3,3,134705,0,18.63394,,Dange Chowk,73.747305,My Home,23-Oct-20,12620000,7 Plumeria Drive,Ravet,4.82,2.111111111,4.022222222
1228,915,1-Jun-21,,12333,2,2,134705,0,18.63394,,Dange Chowk,73.747305,My Home,23-Oct-20,11254500,7 Plumeria Drive,Ravet,4.82,2.111111111,4.022222222
1229,1115,0,,10837,3,3,189325,0,18.637708,,Punawale,73.737402,My Home,23-Oct-20,12088830,Pethkar Siyona,Hinjawadi,4.95,2.777777778,4.111111111
1230,909,0,,11883,2,2,189325,1,18.637708,1,Punawale,73.737402,My Home,23-Oct-20,10806192,Pethkar Siyona,Hinjawadi,4.95,2.777777778,4.111111111
1231,1959,0,,9086,4,4,37834,0,18.624754,,Punawale,73.737331,My Home,23-Oct-20,17800000,Pharande Puneville,Ravet,4.95,2.777777778,4.111111111
1232,1332,0,,10220,3,3,37834,0,18.624754,,Punawale,73.737331,My Home,23-Oct-20,13615704,Pharande Puneville,Ravet,4.95,2.777777778,4.111111111
1233,670,1-Apr-23,,7853,2,2,901360,0,18.661004,,Ravet,73.732841,My Home,23-Oct-20,5076221,Unique K Ville,Ravet,4.36,2.111111111,3.988888889
1234,938,1-Apr-23,,7552,3,3,901360,1,18.661004,1,Ravet,73.732841,My Home,23-Oct-20,6832000,Unique K Ville,Ravet,4.36,2.111111111,3.988888889
1235,875,1-Dec-20,,9034,,3,499103,0,18.651324,,Ravet,73.732061,My Home,23-Oct-20,7905625,GK Silverland Residency Phase 1,Ravet,4.36,2.111111111,3.988888889
1236,650,1-Dec-20,,9143,,2,499103,0,18.651324,,Ravet,73.732061,My Home,23-Oct-20,5200000,GK Silverland Residency Phase 1,Ravet,4.36,2.111111111,3.988888889
1237,2088,0,,11685,4,4,11366,0,18.662949,,Pune Mumbai Highway,73.708949,My Home,23-Oct-20,24400000,Lodha Belmondo,Dehu Road,2.27,1.666666667,3.233333333
1238,1322,0,,9872,2,2,11366,1,18.662949,1,Pune Mumbai Highway,73.708949,My Home,23-Oct-20,13057394,Lodha Belmondo,Dehu Road,2.27,1.666666667,3.233333333
1239,1746,0,,10876,5,3,11366,1,18.662949,1,Pune Mumbai Highway,73.708949,My Home,23-Oct-20,16071930,Lodha Belmondo,Dehu Road,2.27,1.666666667,3.233333333
1240,939.7,1-Jan-23,,10373,,3,1016541,0,18.613397,,Tathawade,73.748559,My Home,23-Oct-20,7922000,Rama Metro Life Maxima Residences,Wakad,4.95,2.777777778,4.111111111
1241,800,1-Jan-23,,10372,,2,1016541,0,18.613397,,Tathawade,73.748559,My Home,23-Oct-20,5500000,Rama Metro Life Maxima Residences,Wakad,4.95,2.777777778,4.111111111
1242,790,1-Jun-24,,11725,2,2,88810,0,18.616265,,Tathawade,73.753645,My Home,23-Oct-20,7164245,Ganga Amber,Wakad,5,3.111111111,4.4
1243,527.754017,1-Jun-24,,9823,1,1,88810,1,18.616265,1,Tathawade,73.753645,My Home,23-Oct-20,5183572,Ganga Amber,Wakad,5,3.111111111,4.4
1244,681.139592,1-Jun-22,1,10863,3,3,771272,1,18.611875,1,Wakad,73.767535,Pride And Priority,4-Nov-20,7399746,VTP Hilife,Dange Chowk,5,3.111111111,4.4
1245,1262,0,1,3961,2,2,236363,,18.514933,,Pisoli,73.926159,Viyaan Group,23-Oct-20,5000000,Atur Valley Vista,Magarpatta,5,2.888888889,4.266666667
1246,650,1-Dec-22,,10000,2,2,893293,1,18.567733,1,Mahalunge,73.739885,BrickFolio Solutions Private Limited,22-Oct-20,5200000,VTP Blue Water,Hinjawadi,4.95,2.777777778,4.111111111
1247,1020,1-Dec-22,,9019,3,3,893293,1,18.567733,1,Mahalunge,73.739885,BrickFolio Solutions Private Limited,22-Oct-20,8400000,VTP Blue Water,Hinjawadi,4.95,2.777777778,4.111111111
1248,450,1-Dec-22,,10000,1,1,893293,1,18.567733,1,Mahalunge,73.739885,BrickFolio Solutions Private Limited,22-Oct-20,3200000,VTP Blue Water,Hinjawadi,4.95,2.777777778,4.111111111
1249,3005,0,,10000,,4,45956,0,18.635915,,Chinchwad,73.800012,BrickFolio Solutions Private Limited,22-Oct-20,30050000,Empire Square,Chinchwad,4.5,2.777777778,4.055555556
