,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
444,663.0,"Jun 01, 2022",,25509,2,2.0,751457,0,19.141985,,Jogeshwari (West),72.844466,Salim Yunus Merchant,"Oct 23, 2020",16899870.0,Lodha Bel Air,,,,
445,607.8374329999999,"Mar 01, 2025",,18358,,2.0,1024770,0,19.221465,,Pokhran-2,72.961319,PropWealth Marketing,"Nov 06, 2020",10600000.0,Mahavir Spring,,,,
446,2400,0,3,24792,5,4,84212,,19.055427,,Chembur,72.889609,,"Oct 27, 2020",59500000,Nellai Heights,,,,
447,1250.0,"Dec 01, 2022",,33959,3,3.0,754011,1,19.056279,1,Chembur (East),72.896469,Narayan Realtors,"Nov 08, 2020",42448750.0,Concrete Sai Sansar,,,,
448,1500,0,1,11000,3,3,438851,,19.102042,,Sector-22 Kopar Khairane,72.996931,Raj Chamunda Enterprises,"Nov 12, 2020",16500000,Creek View CHS,,,,
449,1160,0,3,9482,2,2,13732,,19.034329,,Sector 10 Kharghar,73.073132,,"Sep 28, 2020",11000000,Nathdwara Elite Heights,Kharghar,4.95,2.111111111111111,3.9444444444444446
450,1435,0,4,8013,3,3,0,,19.260500998473,,Khadakpada,73.143751323223,,"Nov 11, 2020",9900000,ROSALIE COMPLEX,Kalyan,4.79,2.0,3.9666666666666663
451,815.0,"Jun 01, 2023",,33742,2,2.0,130189,1,18.993041,1,Worli,72.820446,YourHomes.in,"Oct 27, 2020",27500000.0,Cornerstone,,,,
452,630.333984,"Mar 01, 2025",,17790,,2.0,1024770,0,19.221465,,Pokhran-2,72.961319,DT REALTORS,"Oct 17, 2020",11200000.0,Mahavir Spring,,,,
453,930,0,3,3763,2,2,0,,19.180598,,Belavali,73.230558,,"Jun 15, 2020",3500000,Divya Jot complex,,,,
454,683.0,"Dec 01, 2023",,9289,2,2.0,385855,1,19.262149,1,Kasar vadavali,72.960732,Puranik Builders Ltd,"Nov 02, 2020",6345000.0,Puraniks Tokyo Bay,,,,
